epoch,train_loss,lambda_sym,val_rmse_x,val_rmse_y,val_rmse_z,ood_rmse_x,ood_rmse_y,ood_rmse_z
157,0.0016158959247733061,0.076667,0.017718226,0.023385398,0.04747814,4.771511,5.9666276,1.7308234
158,0.0016248871106654406,0.073333,0.01781479,0.020706663,0.047507368,4.9045415,6.0876946,1.8439411
159,0.001581531462784952,0.07,0.018927505,0.021263272,0.047923468,4.889186,6.003967,1.8320658
160,0.001555562463368122,0.066667,0.021275878,0.022364939,0.048875008,4.939729,6.08878,1.8669288
161,0.0015709688767599754,0.063333,0.021336803,0.023435272,0.04673521,4.822863,6.024491,1.7805597
162,0.0014887575272064751,0.06,0.019191887,0.02104755,0.046210837,4.842224,5.935698,1.7840054
163,0.0014350093783249552,0.056667,0.025811234,0.026391406,0.047217168,4.7888484,5.9568386,1.7916795
164,0.0014406105246729194,0.053333,0.016276348,0.022286585,0.047145307,4.913029,6.0258713,1.8574445
165,0.0013892344902090442,0.05,0.021748925,0.024534974,0.046566848,4.8561187,5.982427,1.9083911
166,0.0013533542164040203,0.046667,0.018205388,0.01983034,0.046307173,4.8597198,5.957178,1.8013523
167,0.0012928256563519915,0.043333,0.017041415,0.02280489,0.047448874,4.693782,5.798327,1.7584419
168,0.0012853494763242989,0.04,0.016356288,0.019664077,0.045869306,4.829287,6.0358095,1.8514353
169,0.0012107580938997369,0.036667,0.016907543,0.029419238,0.045157652,4.861014,5.9546027,1.8992137
170,0.0012119557874169773,0.033333,0.016509136,0.022619627,0.04558287,4.7607727,5.9163404,1.8147749
171,0.0011440019458323382,0.03,0.01686093,0.019811919,0.046137847,4.5379305,5.7039227,1.7286923
172,0.001222808612137436,0.026667,0.020158065,0.027029144,0.045412295,5.087489,6.1265774,2.0472867
173,0.001090215337731374,0.023333,0.014969081,0.017946418,0.044018034,4.827343,5.9985332,1.90311
174,0.001035094052591982,0.02,0.015197775,0.021122677,0.045032036,5.019434,6.2081375,2.0222425
175,0.0009893412318958256,0.016667,0.01701512,0.017984077,0.0439201,5.01267,6.1327443,1.9761971
176,0.0009510864153689442,0.013333,0.015890228,0.025317363,0.045335494,4.84672,6.061589,1.8746891
177,0.0009691569198949788,0.01,0.019153709,0.021072267,0.043084007,4.915521,6.056347,1.9973147
178,0.0009196394075376865,0.006667,0.017076446,0.020518139,0.044143498,4.736303,5.8618226,1.8859658
179,0.0008630573317462292,0.003333,0.01663081,0.018363047,0.04416455,4.6475577,5.841531,1.8216183
180,0.0029395294535415582,0.1,0.017978417,0.018244434,0.04419962,5.452811,6.3389807,2.1891475
181,0.001703379651865898,0.1,0.016445084,0.020681571,0.046209134,5.376118,6.1727867,2.2097366
182,0.001721710277100404,0.1,0.016595406,0.020186216,0.04450002,5.2048845,6.0820103,2.1445558
183,0.001662873615994333,0.1,0.016741147,0.020892518,0.04447843,5.4086847,6.240199,2.3068397
184,0.0016647199615060042,0.1,0.017634865,0.019138789,0.044983216,5.462316,6.245985,2.3133743
185,0.0016685809950547244,0.1,0.021916991,0.022040496,0.0446695,5.407399,6.1561623,2.2902243
186,0.0017059513305027324,0.1,0.017241957,0.020097954,0.045634594,5.493591,6.290677,2.3527603
187,0.001729422454119254,0.1,0.01632484,0.019213697,0.044471044,5.487337,6.2101426,2.3459044
188,0.0016410446125799073,0.1,0.017973462,0.023921091,0.045234833,5.3130794,6.004225,2.22278
189,0.001654810401258799,0.1,0.018639127,0.019237533,0.046489973,5.5099015,6.238135,2.3226202
190,0.0015618460661827181,0.1,0.015820311,0.018429358,0.04429568,5.318415,6.072191,2.261508
191,0.0015514099094360017,0.1,0.016053438,0.018482722,0.044223916,5.3244915,6.103114,2.2701893
192,0.0015468018313045972,0.1,0.0156216975,0.018523186,0.044232115,5.332225,6.0935135,2.3008277
193,0.0015454378489476556,0.1,0.015885815,0.018589566,0.044139992,5.396046,6.1349864,2.2890453
194,0.0015434758067548943,0.1,0.0157254,0.018554382,0.0444489,5.401408,6.1319857,2.3323522
195,0.0015367263911638218,0.1,0.016288072,0.01869897,0.04457335,5.414428,6.0983524,2.311367
196,0.0015442392285853529,0.1,0.01611025,0.01894382,0.044186722,5.2862077,6.037039,2.2947917
